id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-10-17 21:05:31,"{""short_code"":""MQPKPq"",""original_url"":""https://acme.dev/quiet/journey/1""}"
2,2,385,created,2025-06-30 08:22:24,"{""short_code"":""xisUi1"",""original_url"":""https://seeded.app/tidy/delta/2""}"
3,3,161,created,2025-03-19 08:47:03,"{""short_code"":""3GWSlP"",""original_url"":""https://seeded.app/urban/network/3""}"
4,4,373,created,2026-02-02 08:29:29,"{""short_code"":""7rneoP"",""original_url"":""https://opswise.net/tidy/canyon/4""}"
5,5,129,created,2025-08-30 17:58:30,"{""short_code"":""yCtLYY"",""original_url"":""https://relay.cloud/gold/kernel/5""}"
6,6,16,created,2025-12-30 23:15:59,"{""short_code"":""UAtb9H"",""original_url"":""https://seeded.app/harbor/garden/6""}"
7,7,183,created,2025-01-06 23:41:50,"{""short_code"":""t6QK8B"",""original_url"":""https://relay.cloud/jade/beacon/7""}"
8,8,196,created,2025-06-18 22:02:22,"{""short_code"":""rT50C6"",""original_url"":""https://hackstack.io/quiet/pioneer/8""}"
9,9,345,created,2025-11-09 15:15:44,"{""short_code"":""2bHmGS"",""original_url"":""https://seeded.app/dawn/river/9""}"
10,10,236,created,2025-11-04 00:15:07,"{""short_code"":""iWmea5"",""original_url"":""https://relay.cloud/opal/trail/10""}"
11,11,94,created,2026-01-01 13:44:52,"{""short_code"":""taxnvC"",""original_url"":""https://relay.cloud/calm/kernel/11""}"
12,12,158,created,2025-05-06 21:05:34,"{""short_code"":""vpTTUI"",""original_url"":""https://example.com/jade/field/12""}"
13,13,210,created,2025-12-27 05:45:02,"{""short_code"":""rQ06WR"",""original_url"":""https://example.com/warm/valley/13""}"
14,14,117,created,2025-05-17 22:47:16,"{""short_code"":""Wvr4mc"",""original_url"":""https://acme.dev/cobalt/quartz/14""}"
15,15,309,created,2026-01-07 01:35:14,"{""short_code"":""UfoWTW"",""original_url"":""https://hackstack.io/gold/canyon/15""}"
16,16,397,created,2025-03-05 12:32:50,"{""short_code"":""D3IAk1"",""original_url"":""https://example.com/forest/engine/16""}"
17,17,369,created,2025-05-21 01:48:44,"{""short_code"":""GdNLLh"",""original_url"":""https://seeded.app/quiet/canyon/17""}"
18,18,326,created,2025-01-24 00:21:09,"{""short_code"":""IKV6g3"",""original_url"":""https://relay.cloud/keen/delta/18""}"
19,19,260,created,2025-01-11 01:31:20,"{""short_code"":""xApo7w"",""original_url"":""https://acme.dev/ivory/anchor/19""}"
20,20,189,created,2026-01-24 11:11:23,"{""short_code"":""65KK3L"",""original_url"":""https://acme.dev/young/canyon/20""}"
21,21,217,created,2025-04-08 14:12:40,"{""short_code"":""bhxw6V"",""original_url"":""https://opswise.net/jade/journey/21""}"
22,22,320,created,2025-09-18 21:41:10,"{""short_code"":""9gfShr"",""original_url"":""https://relay.cloud/mellow/zenith/22""}"
23,23,337,created,2025-09-20 00:16:58,"{""short_code"":""M8vvpA"",""original_url"":""https://hackstack.io/harbor/garden/23""}"
24,24,34,created,2025-04-29 05:00:36,"{""short_code"":""bcZUHT"",""original_url"":""https://opswise.net/proud/quartz/24""}"
25,25,220,created,2025-11-07 00:53:01,"{""short_code"":""yP7nth"",""original_url"":""https://relay.cloud/ivory/pioneer/25""}"
26,26,206,created,2025-08-19 16:57:29,"{""short_code"":""yOUDAP"",""original_url"":""https://acme.dev/cobalt/engine/26""}"
27,27,96,created,2025-01-15 14:54:15,"{""short_code"":""HIrsol"",""original_url"":""https://relay.cloud/lively/meadow/27""}"
28,28,78,created,2026-02-19 08:27:48,"{""short_code"":""Oo9rD8"",""original_url"":""https://acme.dev/urban/harvest/28""}"
29,29,116,created,2025-06-15 13:40:31,"{""short_code"":""CLDvhh"",""original_url"":""https://hackstack.io/brisk/yard/29""}"
30,30,52,created,2025-09-27 18:12:11,"{""short_code"":""MfPz1i"",""original_url"":""https://opswise.net/keen/window/30""}"
31,31,267,created,2025-05-13 11:16:10,"{""short_code"":""7tNyrD"",""original_url"":""https://acme.dev/harbor/anchor/31""}"
32,32,206,created,2025-07-17 09:29:20,"{""short_code"":""CViqCN"",""original_url"":""https://relay.cloud/ivory/uplink/32""}"
33,33,119,created,2025-07-04 03:03:17,"{""short_code"":""Aioc7Y"",""original_url"":""https://example.com/keen/beacon/33""}"
34,34,83,created,2025-01-14 10:49:31,"{""short_code"":""Prd3U5"",""original_url"":""https://seeded.app/navy/yard/34""}"
35,35,288,created,2026-02-16 16:21:31,"{""short_code"":""NUvSlU"",""original_url"":""https://example.com/gold/journey/35""}"
36,36,165,created,2025-11-19 13:46:45,"{""short_code"":""f7DFMW"",""original_url"":""https://relay.cloud/forest/engine/36""}"
37,37,119,created,2025-12-02 04:49:59,"{""short_code"":""yZW4Yj"",""original_url"":""https://opswise.net/urban/signal/37""}"
38,38,60,created,2025-02-14 10:30:21,"{""short_code"":""SMmDti"",""original_url"":""https://acme.dev/gold/beacon/38""}"
39,39,4,created,2025-09-15 05:56:56,"{""short_code"":""JU0ZNG"",""original_url"":""https://relay.cloud/keen/signal/39""}"
